username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
KelvynRicharD;2019-03-13 10:56;0;0;""configura assédio moral quem ofender reiteradamente a dignidade de alguém, causando-lhe dano ou sofrimento físico ou mental, no exercício de emprego, cargo ou função." EBC. Ou seja, tem que ser aprovada mesmo!!!! https://twitter.com/lpbragancabr/status/1105761446267359232 …";;;;"1105829916535341057";https://twitter.com/KelvynRicharD/status/1105829916535341057
kalidelossantos;2019-03-10 17:19;2;9;"E eu sou contra a parte de linchamento e assédio, contra demais, mas ela perder o emprego é consequência esperada, né, dela ser abertamente transfóbica. E todo mundo que defende ela chamando mulheres trans de homens, pqp, qual é a dificuldade de dar o respeito que tanto pede??";;;;"1104839258295144449";https://twitter.com/kalidelossantos/status/1104839258295144449
TweetParaMari;2019-03-10 03:42;0;1;"sofri assedio de um "doutô" dentro da universidade. um cara com doutorado, cientista politico, "intelectual" que se aproveitava de seu cargo pra assediar mulheres. nao so sofri assedio como fui processada. cargo/emprego/diploma nao quer dizer nada, quem é canalha apenas é!!!!";;;;"1104633647704010753";https://twitter.com/TweetParaMari/status/1104633647704010753
otavio_bastos01;2018-08-13 19:48;0;0;"Assédio Moral é toda e qualquer conduta abusiva que atente, por sua repetição ou sistematização, contra a dignidade ou integridade física ou psíquica de uma pessoa, ameaçando seu emprego… https://www.instagram.com/p/Bmb7gM5BL5D/?utm_source=ig_twitter_share&igshid=1vmupp0fveno3 …";;;;"1029137722735296513";https://twitter.com/otavio_bastos01/status/1029137722735296513
pauloccarneiro;2018-08-13 13:38;0;0;"Assédio Moral é toda e qualquer conduta abusiva que atente, por sua repetição ou sistematização, contra a dignidade ou integridade física ou psíquica de uma pessoa, ameaçando seu emprego… https://www.instagram.com/p/BmbRGMRDq1O/?utm_source=ig_twitter_share&igshid=1r68lqj2en924 …";;;;"1029044469906264064";https://twitter.com/pauloccarneiro/status/1029044469906264064
LuizaoMilGrau;2016-04-26 13:27;0;1;"É uma merda sofre assédio no emprego, n recomendo";;;;"724998364283191296";https://twitter.com/LuizaoMilGrau/status/724998364283191296
_b0rb0;2015-04-13 11:29;0;0;"Sonho com um emprego no qual não vou sofrer assédio em nenhum momento.";;;;"587623564708356096";https://twitter.com/_b0rb0/status/587623564708356096
chan4fun;2014-09-23 23:49;0;0;"Aí que assédio :O SE ELA NÃO QUISER O EMPREGO EU FICO COM ELE # SexoeasNegas";;;#;"514607452495806464";https://twitter.com/chan4fun/status/514607452495806464
vulgoportinari;2013-09-28 18:12;0;0;""Eu deixei o emprego pq eu sofri assédio" "mas eu me acho feia"";;;;"384063006583582720";https://twitter.com/vulgoportinari/status/384063006583582720
luanetedais;2013-05-28 11:28;0;0;"# encontro é triste,tem vitimas que sofrem assedio moral e continuam nesse ambiente sofrendo caladas porque precisam do emprego";;;#;"339387705676922880";https://twitter.com/luanetedais/status/339387705676922880
CLEBER_CARNEIRO;2013-05-23 11:52;0;0;"Empresas pedem senha do Facebook em entrevistas de emprego. http://ow.ly/ljP8I  invasão de privacidade ou assedio moral ?!";;;;"337581821283942400";https://twitter.com/CLEBER_CARNEIRO/status/337581821283942400
JeanPerotto;2013-05-13 11:35;0;0;"Dai quando a entrevistadora te chama de bonito tu sente o assedio no emprego";;;;"333953570200252416";https://twitter.com/JeanPerotto/status/333953570200252416
