username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
manoel_basilio;2019-05-07 07:35;0;0;"Entre assédio e justa causa: telemarketing soma mais de 800 causas trabalhistas # gazetawebhttps://gazetaweb.globo.com/portal/noticia/2018/10/entre-assedio-e-justa-causa-telemarketing-soma-mais-de-800-causas-trabalhistas_63232.php??utm_source=twitter&utm_medium=share-bar-desktop&utm_campaign=share-bar …";;;#;"1125710667279994881";https://twitter.com/manoel_basilio/status/1125710667279994881
saletegranja;2019-05-04 15:13;0;3;"Telemarketing se tornou assédio, não todos atendentes, e isso é crime. Motoboys, não todos, se tornaram uma ameaça no trânsito para si e para os outros. Ambos pela falta de limites e alguns pela ganância de ganhar mais.";;;;"1124738730542215169";https://twitter.com/saletegranja/status/1124738730542215169
lizbetharias;2019-05-02 11:09;0;1;"Eu diria mais, NÃO TEM QUE SER PRATICADO o telemarketing. Meus dados pessoais foram espalhados para todas as operadoras de telefonia, TVs por assinatura e empréstimos consignados. Recebo diariamente telefonemas tanto no fixo, quanto no celular. É assédio e tortura pura.";;;;"1123952678571266049";https://twitter.com/lizbetharias/status/1123952678571266049
