username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Gii_chmu;2019-04-26 12:16;0;2;"Cheguei mais cedo no trabalho hoje e meus chefes cantaram parabéns com a redação toda batendo palma e eu agachada, morrendo de vergonha, toda vermelha. Aí depois vem o chefe mor do andar perguntar se é meu aniversário, mas é apenas bullying mesmo. Sextou";;;;"1121795070364008448";https://twitter.com/Gii_chmu/status/1121795070364008448
loohbassi;2019-04-25 11:51;0;0;"Gente to fazendo um trabalho da facul e queria saber um negócio, quem puder responder aí ficarei grata. Quem já sofreu bullying por causa do corpo";;;;"1121426509418389506";https://twitter.com/loohbassi/status/1121426509418389506
Fckingjzz__;2019-04-25 10:23;0;1;"Tem um trabalho de jornal aqui na escola daí umas das matérias seria moda tem uma revista que são modelos plus size as meninas estão rindo das modelos e falando bosta MANO???? O pior e que na primeira aula estávamos falando sobre bullying NOJOOOOO dessas garotas";;;;"1121404242009493505";https://twitter.com/Fckingjzz__/status/1121404242009493505
aquxmera;2019-04-19 02:12;0;0;"hoje a menina que praticou bullying comigo o fundamental inteiro foi lá no meu trabalho, ainda bem que não fui obrigada atendê-la";;;;"1119106399584129024";https://twitter.com/aquxmera/status/1119106399584129024
Micherica;2019-04-11 18:45;0;4;"Sofri bullying minha adolescência toda, sofri bullying no trabalho e até fui motivo de vergonha de quem me relacionei. Hoje eu tenho orgulho da mulher forte e linda que me tornei. Mesmo com sorriso torto eu consigo ser maravilhosa pic.twitter.com/Dn2R85IBjT";;;;"1116457318206648320";https://twitter.com/Micherica/status/1116457318206648320
calefidan;2019-04-11 12:17;0;0;"Segundo meu caro amigo e companheiro de trabalho, Luís Felipe. Bullying é aquele treco de armazenar Caféllying";;;;"1116359569473667073";https://twitter.com/calefidan/status/1116359569473667073
nardopsilva;2019-04-09 21:56;0;0;"Medo de sofrer bullying agora no trabalho https://twitter.com/gabi_casteglion/status/1115447954998005760 …";;;;"1115780472125186054";https://twitter.com/nardopsilva/status/1115780472125186054
natiefontenele;2019-04-09 15:42;0;1;"Eles fazem sempre um trabalho de conscientização sobre o bullying, mas os filhos são reflexos dos pais.";;;;"1115686514632138752";https://twitter.com/natiefontenele/status/1115686514632138752
carolinaflavia_;2019-04-04 22:40;0;1;"Eu sofro bullying no trabalho e meu familiar ainda colabora para a zueira ir para o grupo da família, eu n mereço";;;;"1113979650601050112";https://twitter.com/carolinaflavia_/status/1113979650601050112
faanascimento;2019-03-26 19:39;0;1;"Estou sofrendo bullying no trabalho por causa desse balcão putsssssss";;;;"1110672629059473408";https://twitter.com/faanascimento/status/1110672629059473408
llauralola;2019-03-21 19:16;0;0;"a minha prima é historiadora e trabalha na rede pública, ai hoje uma colega de trabalho chegou nela pra desbafar que o filho (estudante de história na ufpa) tava sofrendo bullying, os colegas excluiram ele e etc, pensei logo puts coitado do mlk e tal aí perguntei o motivo";;;;"1108854941412716545";https://twitter.com/llauralola/status/1108854941412716545
2i_ian;2019-03-21 14:25;0;0;"Quando é trabalho em grupo todos ficam em suas panelinhas e eu sempre sobro. Me sinto como fosse aquele aluno que sofre bullying/odiado por todos!";;;;"1108781662354190337";https://twitter.com/2i_ian/status/1108781662354190337
lissmomm;2019-03-20 21:55;0;0;"Às ordens, meu sofrimento para o seu entretenimento. Ps.: agora q Eu lavei ficou mais decente e não sofrerei bullying no trabalho";;;;"1108532548941086721";https://twitter.com/lissmomm/status/1108532548941086721
mbitchner;2019-03-19 21:04;0;4;"eu to anotando todos os relatos de bullying que eu to recebendo e eu to chorando tanto, acho que foi o trabalho mais doloroso q ja fiz";;;;"1108157377898053634";https://twitter.com/mbitchner/status/1108157377898053634
Angeloz_;2019-03-18 22:06;0;2;"Triste ter que ouvir numa discussão com os colegas de trabalho sobre o massacre de Suzano que "bullying é frescura" e "no meu tempo a gente resolvia bullying na porrada"";;;;"1107810592784556034";https://twitter.com/Angeloz_/status/1107810592784556034
MARIAng42929772;2019-03-15 07:54;0;0;"@ spnoarrecord o bullying está presente em todos os lugares , nas escolas ,no trabalho . E é sempre horrível! Conheço adultos que sofrem bullying também sofrem muito .";;@;;"1106509020909719552";https://twitter.com/MARIAng42929772/status/1106509020909719552
yasminpm13;2019-03-14 13:35;0;0;"Sofri bullying no meu trabalho por causa das lembrança do Facebook que postei no stories";;;;"1106232461518925825";https://twitter.com/yasminpm13/status/1106232461518925825
SergioMoroRocks;2019-03-14 10:16;0;2;"Estou sofrendo bullying por causa do clebéris kkkkk vou virar feminista e fazer uns protestos sem roupa qdo sair do trabalho kkkkkk";;;;"1106182314017652737";https://twitter.com/SergioMoroRocks/status/1106182314017652737
lumoraes2S;2019-03-14 05:20;0;0;"Quem nc sofreu, tudo vai da orientação q ele recebe em casa para lidar com isso, a ajuda da escola tbm é importante para neutralizar o assédio dentro da instituição, além do trabalho junto a família de quem pratica e de quem sofre o bullying.";;;;"1106107719277314049";https://twitter.com/lumoraes2S/status/1106107719277314049
sue_fcs;2019-03-13 22:12;4;9;"Num país onde foi eleito um presidente que diz que as minorias devem se curvar a maioria, fica imensamente complicado um trabalho voltado para prevenção de bullying nas escolas.";;;;"1106000228992405509";https://twitter.com/sue_fcs/status/1106000228992405509
wallace_moraiss;2019-03-13 19:16;0;1;"O bullying é algo muito sério. Devemos tratar desse tema em casa, nas escolas, na faculdade, no trabalho, em todos os locais onde essa violência moral acontece.";;;;"1105955933253976065";https://twitter.com/wallace_moraiss/status/1105955933253976065
Jodel_Santana;2019-02-02 20:34;0;0;"BULLYING NO TRABALHO # boanoite # sabadão # vamosrir # sjcampos # valedoparaiba # sp # brasil # america # world # piadas # historias # engraçadas # paulinhogogo # malandrocarioca em São José dos Campos https://www.instagram.com/p/BtZXcEWl0ZY/?utm_source=ig_twitter_share&igshid=1eglaxic6mywx …";;;# # # # # # # # # # # # # #;"1091827316366495744";https://twitter.com/Jodel_Santana/status/1091827316366495744
abdenyafuri1;2018-12-29 23:30;0;0;"Quando seus colegas do trabalho praticam bullying com vc... # xenofobianão # oacreexiste uberdepre uber @ uber_sp em Taguatinga, Federal District https://www.instagram.com/p/Br_jtkmh0fA/?utm_source=ig_twitter_share&igshid=f6b15dpe7yj7 …";;@;# #;"1079187946077483015";https://twitter.com/abdenyafuri1/status/1079187946077483015
sanger1983;2018-11-07 18:33;0;0;"Trabalho de história Professor: Sanger Amaral Alves Nogueira Tema: “Como perceber e combater o bullying nas escolas através da animação Uma voz… https://www.instagram.com/p/Bp5ISzxgEa1/?utm_source=ig_twitter_share&igshid=1m7p221zm58bj …";;;;"1060269084317769729";https://twitter.com/sanger1983/status/1060269084317769729
