username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
pablovillaca;2019-04-30 11:33;53;508;"Porque uma coisa já sei: prejudicado profissionalmente por isso ou não, jamais irei me calar - e que os bullies do presidente da república saibam disso. Pra reforçar: convido vocês a apoiarem meu trabalho através do sistema de colaboração do Catarse: http://www.catarse.me/cinemaemcena .";;;;"1123233890519396352";https://twitter.com/pablovillaca/status/1123233890519396352
bull_kennel;2019-03-19 20:19;0;0;"Um passo de cada vez!!! Obrigado a todos que acompanham nosso trabalho. Curte nossa página https://www.facebook.com/CanilWalkerBullKennel/ … # WalkerBullKennel # LoveBull # Bully pic.twitter.com/M08hg5PWHY";;;# # #;"1108145930975481858";https://twitter.com/bull_kennel/status/1108145930975481858
crf_luciano;2018-08-09 19:33;0;0;"Qualidade demais os bully do bahiabestbully ! Difícil é escolher um pra levar! Parabéns pelo trabalho irmão fabriciossouza_ # bully # americanbully # dog em Lauro de Freitas https://www.instagram.com/p/BmRmcwNAbxm/?utm_source=ig_twitter_share&igshid=16yx71k77mti0 …";;;# # #;"1027684303377977344";https://twitter.com/crf_luciano/status/1027684303377977344
barbitzz;2014-01-20 20:11;0;0;"Larika pós trabalho. (@Bully's Sucos - @ bullysnews) http://4sq.com/LJpJdG";;@Bully @;;"425390028110692352";https://twitter.com/barbitzz/status/425390028110692352
hdondossola;2013-01-25 02:29;1;0;"@rangeumarangoni jogar bully virou trabalho agora?";;@rangeumarangoni;;"294663332714139648";https://twitter.com/hdondossola/status/294663332714139648
wallacearaujoo_;2012-08-21 12:45;1;0;"Kkkkkk fazendo o trabalho sobre bully e o povo tão fazendo sobre viado kkkk @ AllanMoura4pic.twitter.com/JCji6TRr";;@;;"237938536177860609";https://twitter.com/wallacearaujoo_/status/237938536177860609
elbineo;2011-08-12 10:40;0;0;"Sofro bully ate no ambiente de trabalho.";;;;"102011696838746112";https://twitter.com/elbineo/status/102011696838746112
pstamaral;2011-02-17 17:03;0;0;"Sofrendo Bully no trabalho pelo @ brazpadilha (@Ministério da Saúde - Unidade VI) [pic]: http://4sq.com/gCeFUh";;@ @Minist;;"38312592153780224";https://twitter.com/pstamaral/status/38312592153780224
